ID	Sample_type	Median AF	MAD	MATH
WLOS_0022	cfDNA	0.1105	0.036	32.57919
WLOS_0022	tumor	0.122	0.038	31.14754
WLOS_0014	cfDNA	0.2095	0.1285	61.33652
WLOS_0014	tumor	0.39	0.047	12.05128
WLOS_0017	cfDNA	0.118	0.059	50
WLOS_0017	tumor	0.319	0.064	20.0627
WLOS_0002	cfDNA	0.1945	0.0935	48.07198
WLOS_0002	tumor	0.418	0.06	14.35407
WLOS_0020	cfDNA	0.1725	0.1035	60
WLOS_0020	tumor	0.378	0.2005	53.04233
