MR_number	Sample_ID	Dog_ID	Blood_draw_site	T_simple	T_circulation	DNA_conc	TF	FSR	Frag_mode	Days_since_staged	Tumor location	Tumor_loc	Jugular_drained
444725	01-cfDNA_L_CP_1	01-cfDNA	Cephalic	114.185	122.301	4.872	0.2935	0.78344659	143	34	sacrum and iliac wing	Posterior	No
444725	01-cfDNA_L_JP_1	01-cfDNA	Jugular	80.873	100.823	4.752	0.3128	0.9154371	143	34	sacrum and iliac wing	Posterior	No
444725	01-cfDNA_L_SP_1	01-cfDNA	Saphenous	61.622	172.609	4.74	0.2572	0.74118031	152	34	sacrum and iliac wing	Posterior	No
432299	02-cfDNA_L_CP_1	02-cfDNA	Cephalic	80.016	107.62	1.86	0	0.44602269	168	0	bilateral thyroid	Anterior	Yes
432299	02-cfDNA_R_JP_1	02-cfDNA	Jugular	8.59	9.525	1.656	0	0.5300439	163	0	bilateral thyroid	Anterior	Yes
432299	02-cfDNA_R_SP_1	02-cfDNA	Saphenous	129.17	157.928	1.74	0.01194	0.45821491	168	0	bilateral thyroid	Anterior	Yes
451537	03-cfDNA_L_JP_1	03-cfDNA	Jugular	96.686	119.756	2.52	0.374	1.0988536	143	0	right anal gland	Posterior	No
451537	03-cfDNA_L_JP_1	03-cfDNA	Jugular	79.402	106.797	2.52	0.374	1.0988536	143	0	right anal gland	Posterior	No
451537	03-cfDNA_L_SP_1	03-cfDNA	Saphenous	48.88	191.542	3.015	0.357	0.95740226	143	0	right anal gland	Posterior	No
451537	03-cfDNA_L_SP_1	03-cfDNA	Saphenous	56.041	178.583	3.015	0.357	0.95740226	143	0	right anal gland	Posterior	No
451537	03-cfDNA_R_CP_1	03-cfDNA	Cephalic	112.071	143.234	2.985	0.3672	0.95293836	143	0	right anal gland	Posterior	No
451537	03-cfDNA_R_CP_1	03-cfDNA	Cephalic	108.693	130.275	2.985	0.3672	0.95293836	143	0	right anal gland	Posterior	No
407812	04-cfDNA_L_CP_1	04-cfDNA	Cephalic	98.462	144.697	4.668	0.01399	0.48871863	163	102	Right carpus	Anterior	No
407812	04-cfDNA_L_JP_1	04-cfDNA	Jugular	76.437	81.72	5.472	0.01452	0.44973935	168	102	Right carpus	Anterior	No
407812	04-cfDNA_R_SP_1	04-cfDNA	Saphenous	129.83	193.005	5.472	0.01201	0.47783503	167	102	Right carpus	Anterior	No
357223	05-cfDNA_L_JP_1	05-cfDNA	Jugular	96.345	117.891	3.315	0.04082	0.59598411	152	0	anus	Posterior	No
