Sample_ID	Mean Coverage (Raw)	% Duplication	Est Lib Size	Total ng cfDNA Input	Sequencing Institution	Sequencer
ARM_408932.cfDNA_D1_T0.FC19664746	0.080394	0.50%	138863347	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D1_T0.FC19664845	0.133134	0.60%	185862750	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D1_T12.FC19664739	0.060505	0.60%	87866921	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D1_T12.FC19664842	0.064336	1.00%	48717999	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D1_T6.FC17907733	0.079013	0.60%	120135908	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D1_T6.FC19664844	0.079041	1.10%	62084506	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D2_T0.FC19664740	0.154781	0.50%	232416394	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D2_T0.FC19664843	0.199979	0.70%	241697220	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D2_T12.FC19664742	0.062751	0.60%	89418385	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D2_T12.FC19664832	0.089826	0.80%	92762830	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D2_T24.FC19664743	0.058507	0.70%	67720001	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D2_T24.FC19664770	0.081104	1.10%	59597783	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D2_T6.FC19664741	0.091249	0.60%	131435958	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D2_T6.FC19664846	0.119192	0.50%	173191043	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D9_T0.FC19664744	0.062531	0.70%	77005376	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D9_T0.FC19664771	0.06396	2.00%	26947718	NA	Broad Blood Biopsy Group	HiSeq 2500
