Sample_ID	Mean Coverage (Raw)	% Duplication	Est Lib Size	Total ng cfDNA Input	Sequencing Institution	Sequencer
ARM_408932.cfDNA_D9_T12.FC17907729	0.050119	0.70%	60180393	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D9_T12.FC19664839	0.057914	1.30%	35973259	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D9_T24.FC19664747	0.030274	0.80%	32690170	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D9_T24.FC19664848	0.066018	1.90%	27392328	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D9_T6.FC19664745	0.0138	0.60%	21450811	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_408932.cfDNA_D9_T6.FC19664840	0.05204	1.40%	30696666	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D1_T0.FC17906296	0.16546	0.40%	331758034	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D1_T0.FC19664748	0.101035	0.50%	166870368	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D1_T12.FC17906304	0.149055	0.40%	301478251	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D1_T12.FC19664750	0.113903	0.40%	216894813	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D1_T6.FC17906302	0.182438	0.40%	385067683	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D1_T6.FC19664749	0.129033	0.30%	338466966	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D2_T0.FC17906295	0.152841	0.50%	275513208	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D2_T0.FC19664751	0.103083	0.40%	193946565	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D2_T12.FC17906286	1.375516	0.60%	2037322745	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D2_T12.FC17907752	0.101567	0.40%	228077054	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D2_T24.FC17906287	0.125221	0.40%	247697552	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D2_T24.FC17907726	0.244516	0.40%	485477371	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D2_T6.FC17906303	0.108876	0.50%	184301275	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D2_T6.FC19664752	0.098939	0.40%	208368813	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D9_T0.FC17907739	0.098887	0.60%	147497049	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D9_T0.FC19664847	0.088847	0.70%	97056440	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D9_T12.FC17907741	0.06693	0.60%	80789689	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D9_T12.FC19664772	0.096371	0.70%	99271397	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D9_T24.FC17907730	0.115617	0.60%	154790986	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D9_T24.FC19664769	0.097695	0.70%	102468651	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D9_T6.FC17907742	0.076162	0.50%	116781642	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_409177.cfDNA_D9_T6.FC19664838	0.07271	0.70%	77967558	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D1_T0.FC19668037	0.15146	0.30%	483840000	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D1_T0.FC19668106	0.18144	0.30%	549064273	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D1_T12.FC19668035	0.155778	0.30%	432214482	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D1_T12.FC19668040	0.146766	0.30%	361243161	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D1_T6.FC19668022	0.138659	0.30%	399279121	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D1_T6.FC19668023	0.150607	0.30%	455866142	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D2_T0.FC19668024	0.112565	0.40%	206727368	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D2_T0.FC19668038	0.15361	0.30%	423557501	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D2_T12.FC19668052	0.11834	0.40%	269503998	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D2_T12.FC19668109	0.135619	0.20%	566138793	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D2_T24.FC19668018	0.109111	0.40%	196928006	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D2_T24.FC19668036	0.083874	0.50%	130353160	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D2_T6.FC19668020	0.088235	0.40%	155798280	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D2_T6.FC19668034	0.130451	0.40%	254198324	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D9_T0.FC19668043	0.11823	0.30%	308619245	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D9_T12.FC19668044	0.170544	0.20%	1009824388	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D9_T12.FC19668049	0.124647	0.40%	290719094	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D9_T24.FC19668082	0.104335	0.40%	233137869	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D9_T24.FC19668098	0.136556	0.30%	378348704	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D9_T6.FC19668025	0.149003	0.10%	1344131877	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_412703.cfDNA_D9_T6.FC19668033	0.122751	0.40%	310300561	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D1T0.FC19270951	0.193517	0.30%	573343206	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D1T0.FC19270953	0.169356	0.30%	460543432	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D1T12.FC19270966	0.20118	0.30%	547616664	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D1T12.FC19270967	0.171165	0.60%	231798073	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D1T6.FC19270961	0.146942	0.40%	246640884	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D1T6.FC19270974	0.187801	0.20%	678479809	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D2T0.FC19270963	0.137954	0.50%	190425007	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D2T0.FC19270965	0.145654	0.40%	269547230	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D2T12.FC19270945	0.202185	0.50%	347835280	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D2T12.FC19270957	0.148975	0.30%	362463791	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D2T24.FC19270944	0.128803	0.60%	174074955	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D2T24.FC19270973	0.132765	0.60%	158937646	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D2T6.FC19270955	0.129423	0.40%	217279292	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D2T6.FC19270964	0.143498	0.30%	402533716	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D9T0.FC19270929	0.117935	0.40%	229317948	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D9T0.FC19270959	0.171582	0.50%	263027303	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D9T12.FC19270936	0.138678	0.50%	206733978	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D9T12.FC19270950	0.1011	0.50%	144802350	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D9T24.FC19270928	0.113309	0.50%	171450547	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D9T24.FC19270937	0.134791	0.50%	201263803	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D9T6.FC19270921	0.137825	0.50%	191871943	NA	Broad Blood Biopsy Group	HiSeq 2500
ARM_S226485.ctDNA_D9T6.FC19270952	0.121642	0.50%	169078157	NA	Broad Blood Biopsy Group	HiSeq 2500
HD_1.cfDNA_r1	0.127214	0.60%	144737988	NA	Broad Blood Biopsy Group	HiSeq 2500
HD_1.cfDNA_r2	0.105083	1.00%	78253486	NA	Broad Blood Biopsy Group	HiSeq 2500
HD_2.cfDNA_r1	0.183849	0.60%	228013086	NA	Broad Blood Biopsy Group	HiSeq 2500
HD_2.cfDNA_r2	0.174123	0.80%	171837174	NA	Broad Blood Biopsy Group	HiSeq 2500
HD_3.cfDNA_r1	0.138802	0.70%	144808051	NA	Broad Blood Biopsy Group	HiSeq 2500
HD_3.cfDNA_r2	0.134294	1.40%	75872435	NA	Broad Blood Biopsy Group	HiSeq 2500
HD_5.cfDNA_r1	0.136837	1.20%	81818999	NA	Broad Blood Biopsy Group	HiSeq 2500
HD_5.cfDNA_r2	0.105364	1.20%	65092417	NA	Broad Blood Biopsy Group	HiSeq 2500
01-cfDNA_L_CP_1	0.59	5.2	535954615	20.3	Broad Genomics Platform	HiSeqX
01-cfDNA_L_JP_1	0.55	6.3	440017199	19.8	Broad Genomics Platform	HiSeqX
01-cfDNA_L_SP_1	0.54	5.5	454189774	19.7	Broad Genomics Platform	HiSeqX
02-cfDNA_L_CP_1	0.66	5.7	472734578	7.7	Broad Genomics Platform	HiSeqX
02-cfDNA_R_JP_1	0.66	5.9	467622111	6.9	Broad Genomics Platform	HiSeqX
02-cfDNA_R_SP_1	0.6	5.5	455243613	7.2	Broad Genomics Platform	HiSeqX
03-cfDNA_L_JP_1	0.45	5.5	436044912	8.4	Broad Genomics Platform	HiSeqX
03-cfDNA_L_SP_1	0.64	5.3	552233874	10.1	Broad Genomics Platform	HiSeqX
03-cfDNA_R_CP_1	0.49	5.7	429609765	10	Broad Genomics Platform	HiSeqX
04-cfDNA_L_CP_1	0.42	5	385059357	19.4	Broad Genomics Platform	HiSeqX
04-cfDNA_L_JP_1	0.55	5.2	476488874	22.8	Broad Genomics Platform	HiSeqX
04-cfDNA_R_SP_1	0.66	6.6	429368508	22.8	Broad Genomics Platform	HiSeqX
05-cfDNA_L_JP_1	0.51	5.9	396100935	11	Broad Genomics Platform	HiSeqX
05-cfDNA_R_CP_1	0.56	5.5	422662203	10.4	Broad Genomics Platform	HiSeqX
05-cfDNA_R_SP_1	0.51	5.3	412539711	11.6	Broad Genomics Platform	HiSeqX
06-cfDNA_L_JP_1	0.65	5.7	485937188	14.9	Broad Genomics Platform	HiSeqX
06-cfDNA_L_SP_1	0.43	5.3	356616619	12.2	Broad Genomics Platform	HiSeqX
06-cfDNA_R_CP_1	0.51	5.7	374313426	14.6	Broad Genomics Platform	HiSeqX
07-cfDNA_L_CP_1	0.77	6.2	509285701	4.4	Broad Genomics Platform	HiSeqX
07-cfDNA_L_JP_1	0.56	5.3	423995944	5	Broad Genomics Platform	HiSeqX
07-cfDNA_R_SP_1	0.56	5.6	400878325	3.6	Broad Genomics Platform	HiSeqX
08-cfDNA_L_SP_1	0.61	5.6	554942758	40	Broad Genomics Platform	HiSeqX
08-cfDNA_R_CP_1	0.64	5.5	587014808	32.6	Broad Genomics Platform	HiSeqX
08-cfDNA_R_JP_1	0.66	5.2	656144502	39.7	Broad Genomics Platform	HiSeqX
09-cfDNA_L_CP_1	0.49	5.3	497461340	22.8	Broad Genomics Platform	HiSeqX
09-cfDNA_L_JP_1	0.63	5.9	541879633	16.2	Broad Genomics Platform	HiSeqX
09-cfDNA_R_SP_1	0.71	6.6	538545571	17.5	Broad Genomics Platform	HiSeqX
1-BBX-462289	0.35	31	16734310	3	Broad Genomics Platform	Novaseq S4
1-Broad-BDS-503888-LC	1.24	18.2	58646310	24	Broad Genomics Platform	Novaseq S4
1-Broad-BDS-503888-LC	1.24	18.2	66204664	24	Broad Genomics Platform	Novaseq S4
1-Broad-BDS-503888-LJ	1.09	18.4	67226634	25	Broad Genomics Platform	Novaseq S4
1-Broad-BDS-503888-LJ	1.09	16.8	45957886	25	Broad Genomics Platform	Novaseq S4
10-BBX-424268	0.51	17.5	49861181	9.5	Broad Genomics Platform	Novaseq S4
10-cfDNA_L_CP_1	0.57	5.8	360195727	5.4	Broad Genomics Platform	HiSeqX
10-cfDNA_L_JP_1	0.54	5.3	350032089	4.8	Broad Genomics Platform	HiSeqX
10-cfDNA_R_SP_1	0.52	5.2	376218534	7.8	Broad Genomics Platform	HiSeqX
11-BBX-471223	0.21	19.3	18073755	5.5	Broad Genomics Platform	Novaseq S4
11-CFDNA-T-450709-T-0H	0.22	5.3	270983119	10	Broad Genomics Platform	HiSeqX
11-CFDNA-T-450709-T-2H	0.23	5.8	254855364	8.5	Broad Genomics Platform	HiSeqX
11-CFDNA-T-450709-T-4H	0.25	6.3	252471619	15.5	Broad Genomics Platform	HiSeqX
12-BBX-354038	0.59	17.6	58035216	6.5	Broad Genomics Platform	Novaseq S4
12-CFDNA-T-471545-T-0H	0.23	5.8	310690556	8.5	Broad Genomics Platform	HiSeqX
12-CFDNA-T-471545-T-3H	0.23	6.2	312521796	12	Broad Genomics Platform	HiSeqX
12-CFDNA-T-471545-T-5H	0.25	5.9	330498141	11	Broad Genomics Platform	HiSeqX
13-CFDNA-T-469710-T-0H	0.25	5.7	292582642	4.5	Broad Genomics Platform	HiSeqX
13-CFDNA-T-469710-T-3.5H	0.26	6.1	303085749	4.5	Broad Genomics Platform	HiSeqX
13-CFDNA-T-469710-T-5.5H	0.26	5.6	307770821	3.5	Broad Genomics Platform	HiSeqX
14-CFDNA-T-424652-T-0H	0.18	5.2	225922402	7	Broad Genomics Platform	HiSeqX
14-CFDNA-T-424652-T-2H	0.25	6.1	286428719	7	Broad Genomics Platform	HiSeqX
14-CFDNA-T-424652-T-4H	0.21	5.9	245624650	7	Broad Genomics Platform	HiSeqX
15-CFDNA-T-442247-T-0H	0.19	5.4	248697800	6.5	Broad Genomics Platform	HiSeqX
15-CFDNA-T-442247-T-2H	0.22	5.1	287513228	6.5	Broad Genomics Platform	HiSeqX
15-CFDNA-T-442247-T-4H	0.26	5.6	323315333	9	Broad Genomics Platform	HiSeqX
15130_Plasma_1	0.29	4.2	242092096	32.5	Broad Genomics Platform	HiSeqX
15130_Streck_1	0.34	4.4	273019699	29.6	Broad Genomics Platform	HiSeqX
16-CFDNA-T-320707-T-0H	0.24	6.2	284719617	17	Broad Genomics Platform	HiSeqX
16-CFDNA-T-320707-T-2H	0.22	6.1	287939488	24	Broad Genomics Platform	HiSeqX
16-CFDNA-T-320707-T-4H	0.21	5.2	298236709	23	Broad Genomics Platform	HiSeqX
17-CFDNA-T-466976-T-0H	0.11	5.7	138340043	4	Broad Genomics Platform	HiSeqX
17-CFDNA-T-466976-T-2H	0.19	5.4	221482836	5.5	Broad Genomics Platform	HiSeqX
17-CFDNA-T-466976-T-4H	0.27	5.7	297186268	7	Broad Genomics Platform	HiSeqX
17173_Plasma_1	0.34	5.8	193694244	21.8	Broad Genomics Platform	HiSeqX
17173_Streck_1	0.33	4.4	246336002	13.1	Broad Genomics Platform	HiSeqX
18-CFDNA-T-423980-T-0H	0.21	5.4	289166259	13	Broad Genomics Platform	HiSeqX
18-CFDNA-T-423980-T-2H	0.24	5.2	299603754	7.5	Broad Genomics Platform	HiSeqX
18-CFDNA-T-423980-T-4H	0.24	5.4	292227454	7	Broad Genomics Platform	HiSeqX
19-CFDNA-T-474802-T-0H	0.23	5.7	313113770	11.5	Broad Genomics Platform	HiSeqX
19-CFDNA-T-474802-T-2H	0.24	5.9	328607758	14.5	Broad Genomics Platform	HiSeqX
19-CFDNA-T-474802-T-4H	0.24	6.3	319077934	9.5	Broad Genomics Platform	HiSeqX
2-BBX-448658	0.36	33.4	15605684	16.5	Broad Genomics Platform	Novaseq S4
2-Broad-BDS-509112-LC	0.92	18.4	57088962	20	Broad Genomics Platform	Novaseq S4
2-Broad-BDS-509112-LC	0.92	23.4	20013821	20	Broad Genomics Platform	Novaseq S4
2-Broad-BDS-509112-RJ	0.85	24.2	42009097	11.5	Broad Genomics Platform	Novaseq S4
2-Broad-BDS-509112-RJ	0.85	18.7	24157558	11.5	Broad Genomics Platform	Novaseq S4
20-CFDNA-T-476488-T-0H	0.33	6.4	425557879	35	Broad Genomics Platform	HiSeqX
20-CFDNA-T-476488-T-2H	0.26	6.1	446032708	36.5	Broad Genomics Platform	HiSeqX
20-CFDNA-T-476488-T-4H	0.3	5.5	503740383	45	Broad Genomics Platform	HiSeqX
21-CFDNA-T-443038-Day-0	0.39	5.7	912484174	51.5	Broad Genomics Platform	HiSeqX
21-CFDNA-T-443038-Day-170-Relapse	0.25	6	338489945	9	Broad Genomics Platform	HiSeqX
21-CFDNA-T-443038-Day-7	0.27	5.8	345673653	10	Broad Genomics Platform	HiSeqX
22-CFDNA-T-447778-Day-0	0.29	6.1	423736836	32	Broad Genomics Platform	HiSeqX
22-CFDNA-T-447778-Day-175-Relapse	0.23	5.6	281159952	7	Broad Genomics Platform	HiSeqX
22-CFDNA-T-447778-Day-7	0.24	6.1	277992537	6.5	Broad Genomics Platform	HiSeqX
23-CFDNA-T-448346-Day-0	0.33	5.4	688206020	37.5	Broad Genomics Platform	HiSeqX
23-CFDNA-T-448346-Day-200	0.11	4.9	175522862	11.5	Broad Genomics Platform	HiSeqX
23-CFDNA-T-448346-Day-7	0.27	5.9	293781332	4	Broad Genomics Platform	HiSeqX
24-CFDNA-T-458521-Day-0	0.36	5.4	891678096	51.5	Broad Genomics Platform	HiSeqX
24-CFDNA-T-458521-Day-7	0.27	6.1	295445274	3	Broad Genomics Platform	HiSeqX
24-CFDNA-T-458521-Day-82-Relapse	0.25	6.2	271021604	6	Broad Genomics Platform	HiSeqX
25-CFDNA-T-403101-Day-0	0.32	5.3	602600710	44	Broad Genomics Platform	HiSeqX
25-CFDNA-T-403101-Day-7	0.07	5.7	134994984	5.5	Broad Genomics Platform	HiSeqX
25-CFDNA-T-403101-Day-97-Relapse	0.33	6.1	633282589	46.5	Broad Genomics Platform	HiSeqX
26-CFDNA-T-453391-Day-0	0.23	5.7	298631932	5.5	Broad Genomics Platform	HiSeqX
26-CFDNA-T-453391-Day-7	0.23	5.8	263477388	2.5	Broad Genomics Platform	HiSeqX
26-CFDNA-T-453391-Day-77-Relapse	0.24	5.2	390453975	22.5	Broad Genomics Platform	HiSeqX
26145_Plasma_1	0.32	4.8	277028662	23.9	Broad Genomics Platform	HiSeqX
26145_Streck_1	0.36	4.3	311592187	19.9	Broad Genomics Platform	HiSeqX
26269_Plasma_1	0.31	4.6	220877781	15.6	Broad Genomics Platform	HiSeqX
26269_Streck_1	0.4	5.4	263331509	10.6	Broad Genomics Platform	HiSeqX
26679_Plasma_1	0.41	4.6	358134590	24.7	Broad Genomics Platform	HiSeqX
26679_Streck_1	0.44	4.3	412537207	25.5	Broad Genomics Platform	HiSeqX
27-CFDNA-T-455096-Day-0	0.32	7.4	330314170	3	Broad Genomics Platform	HiSeqX
27-CFDNA-T-455096-Day-7	0.28	6.7	241178703	1.5	Broad Genomics Platform	HiSeqX
27-CFDNA-T-455096-Day-98-Relapse	0.28	6.5	333916051	2.5	Broad Genomics Platform	HiSeqX
28-CFDNA-T-391337-Day-0	0.38	5.6	992527089	31.5	Broad Genomics Platform	HiSeqX
28-CFDNA-T-391337-Day-187	0.35	6.2	217643825	1.5	Broad Genomics Platform	HiSeqX
28-CFDNA-T-391337-Day-7	0.27	6.1	282126468	2.5	Broad Genomics Platform	HiSeqX
29-CFDNA-T-462119-Day-0	0.3	6.3	379537626	7.5	Broad Genomics Platform	HiSeqX
29-CFDNA-T-462119-Day-195	0.46	7.4	224234082	2	Broad Genomics Platform	HiSeqX
29-CFDNA-T-462119-Day-7	0.2	7	118377479	1.5	Broad Genomics Platform	HiSeqX
3-BBX-472689	0.46	17.7	44083092	7.5	Broad Genomics Platform	Novaseq S4
3-Broad-BDS-508508-LC	1.26	25.3	46807250	16	Broad Genomics Platform	Novaseq S4
3-Broad-BDS-508508-LC	1.26	18	52659902	16	Broad Genomics Platform	Novaseq S4
3-Broad-BDS-508508-RJ	1.17	19.3	42490220	16.5	Broad Genomics Platform	Novaseq S4
3-Broad-BDS-508508-RJ	1.17	27.6	41605024	16.5	Broad Genomics Platform	Novaseq S4
30-CFDNA-T-462211-Day-0	0.27	6.1	379844932	14.5	Broad Genomics Platform	HiSeqX
30-CFDNA-T-462211-Day-198	0.25	6.2	241281229	1	Broad Genomics Platform	HiSeqX
30-CFDNA-T-462211-Day-7	0.32	7.5	237991273	0.5	Broad Genomics Platform	HiSeqX
385937_Plasma_1	0.4	4.8	283044996	33.9	Broad Genomics Platform	HiSeqX
388087_Plasma_1	0.16	4.3	118346100	4.6	Broad Genomics Platform	HiSeqX
389649_Plasma_1	0.37	4.2	286138762	7.2	Broad Genomics Platform	HiSeqX
393874_Plasma_1	0.31	4.2	221676915	6	Broad Genomics Platform	HiSeqX
395691_Plasma_1	0.36	5.5	165601166	4.2	Broad Genomics Platform	HiSeqX
398055_Plasma_1	0.32	6	174036568	9	Broad Genomics Platform	HiSeqX
398344_Plasma_1	0.2	4.5	116389199	4.1	Broad Genomics Platform	HiSeqX
4-BBX-411916	0.53	19.7	44196871	6	Broad Genomics Platform	Novaseq S4
4-Broad-BDS-517287-LC	1.42	17.6	59730951	11.5	Broad Genomics Platform	Novaseq S4
4-Broad-BDS-517287-LC	1.42	22.7	60944157	11.5	Broad Genomics Platform	Novaseq S4
4-Broad-BDS-517287-RJ	0.99	23.7	44874661	7.5	Broad Genomics Platform	Novaseq S4
4-Broad-BDS-517287-RJ	0.99	18.3	36857009	7.5	Broad Genomics Platform	Novaseq S4
406613_Plasma_1	0.22	3.9	149640222	5.5	Broad Genomics Platform	HiSeqX
407503_Plasma_1	0.24	4	184901431	5.8	Broad Genomics Platform	HiSeqX
411423_Plasma_1	0.31	6.2	111465531	4.7	Broad Genomics Platform	HiSeqX
412679_Plasma_1	0.14	4.7	87361520	4.1	Broad Genomics Platform	HiSeqX
414620_Plasma_1	0.37	4.9	295203360	28.4	Broad Genomics Platform	HiSeqX
415535_Plasma_1	0.36	4	352267290	23.8	Broad Genomics Platform	HiSeqX
427085_Plasma_1	0.27	4.4	195688551	9.2	Broad Genomics Platform	HiSeqX
429724_Plasma_1	0.3	5.5	175966492	8.1	Broad Genomics Platform	HiSeqX
5-BBX-403320	0.54	18.7	48133282	9.5	Broad Genomics Platform	Novaseq S4
5-Broad-BDS-517761-LS	1.32	17.4	64816432	40	Broad Genomics Platform	Novaseq S4
5-Broad-BDS-517761-LS	1.32	15.1	92830020	40	Broad Genomics Platform	Novaseq S4
5-Broad-BDS-517761-RJ	1.32	16.6	88204486	38	Broad Genomics Platform	Novaseq S4
5-Broad-BDS-517761-RJ	1.32	16	67655781	38	Broad Genomics Platform	Novaseq S4
6-BBX-501413	0.39	32	17160187	8.5	Broad Genomics Platform	Novaseq S4
6-Broad-BDS-518116-LJ	0.75	41.9	6740076	9	Broad Genomics Platform	Novaseq S4
6-Broad-BDS-518116-LJ	0.75	17.5	57017142	9	Broad Genomics Platform	Novaseq S4
6-Broad-BDS-518116-RC	0.82	19.3	52481150	16.5	Broad Genomics Platform	Novaseq S4
6-Broad-BDS-518116-RC	0.82	37.3	9270281	16.5	Broad Genomics Platform	Novaseq S4
7-BBX-488935	0.18	32.5	8224137	9.5	Broad Genomics Platform	Novaseq S4
8-BBX-507842	0.39	32.4	17767280	7.5	Broad Genomics Platform	Novaseq S4
8-Broad-BDS-515719-RJ	0.72	45.1	3793284	7.5	Broad Genomics Platform	Novaseq S4
8-Broad-BDS-515719-RJ	0.72	20.4	50196717	7.5	Broad Genomics Platform	Novaseq S4
8-Broad-BDS-515719-RS	0.9	19.1	31369555	13	Broad Genomics Platform	Novaseq S4
8-Broad-BDS-515719-RS	0.9	31.3	26558988	13	Broad Genomics Platform	Novaseq S4
870349_Streck_1	0.45	5.8	265204605	23.7	Broad Genomics Platform	HiSeqX
9-BBX-467718	0.51	17	56738781	6	Broad Genomics Platform	Novaseq S4
9-Broad-BDS-522632-RC	1.19	29.4	35642444	15	Broad Genomics Platform	Novaseq S4
9-Broad-BDS-522632-RC	1.19	16.7	67508884	15	Broad Genomics Platform	Novaseq S4
9-Broad-BDS-522632-RJ	1.17	25.6	38064521	17.5	Broad Genomics Platform	Novaseq S4
