ID	Sample_ID	Cohort	Date.of.CBC	WBC	RBC	Hemoglobin	Hematocrit	MCV	MCH	MCHC	RDW	Platelet.count	Mean.Platelet.volume	Reticulocyte.count	Absolute.reticulocyte.count	Comments	Seg.Neuts	Lymphocytes	Monocytes	Eosinophils	Basophils	Band.Neuts	Other.	Nucleated.RBC	Absolute.Seg.Neutrophils	Absolute.Lymphs	Absolute.Mono	Absolute.Eos	Absolute.Baso	Absolute.Band.Neutro	WBC.Morphology.Comments	RBC.Comments	Other.comments	Time.of.CBC	Other	Acanthocytes	Anisocytosis	echinocytes	Howell.jolly.bodies	keratocytes	schistocytes	Lipemia	Hemolysis						
04-cfDNA	04-cfDNA_L_JP_1	Blood_draw_site_1	8/13/19	10.33	6.59	16	47	71.2	24.3	34.1	16.5	410	9.5	1.46	96.2	lipemia present	81	6	7	6	NA	NA	NA	1	8.367	0.62	0.72	0.62	NA	NA	occ reactive lymphs	Some erythrocytes are smudged and their morphologic features are difficult to assess due to the effects of lipemia.	NA	13:01	NA	NA	NA	NA	NA	NA	NA	NA	NA						
05-cfDNA	05-cfDNA_L_JP_1	Blood_draw_site_1	8/14/19	7.82	6.96	18.1	53	75.7	26	34.3	12.9	287	11	0.6	41.8	lipemia present	75	12	5	8	NA	NA	NA	NA	5.865	0.94	0.39	0.63	NA	NA	no morphologic abnormalities	echinocytes rare	NA	12:58	NA	NA	NA	NA	NA	NA	NA	NA	NA						
09-cfDNA	09-cfDNA_L_JP_1	Blood_draw_site_1	9/10/19	9.08	6.51	15.8	49	74.9	24.3	32.4	13.1	NA	8.9	0.68	44.5	"Platelets clumped; unable to obtain an accurate platelet count., lipemia present"	80	13	4	3	NA	NA	NA	NA	7.264	1.18	0.36	0.27	NA	NA	no morphologic abnormalities	echinocytes 1+	NA	5:37	NA	NA	NA	NA	NA	NA	NA	NA	NA						
10-cfDNA	10-cfDNA_L_JP_1	Blood_draw_site_1	9/25/19	7.51	6.44	15.5	47	72.2	24.1	33.3	14	279	11	0.56	36.1		91	6	3	NA	NA	NA	NA	NA	6.834	0.45	0.23	NA	NA	NA	no morphologic abnormalities	no morphologic abnormalities	NA	10:24	NA	NA	NA	NA	NA	NA	NA	NA	NA						
1-Broad-BDS	1-Broad-BDS-503888-LJ	Blood_draw_site_2	7/16/22	4.4	5.54	12.4	35	62.5	22.4	35.8	16.3	82	15.7	Not applicable	10	Procyte	72	23	2	3	Not applicable	Not applicable	NA	Not applicable	2.77	1.2	0.21	0.02	NA	NA	Occasional reactive lymphocytes	NA	NA	NA	Not applicable			1+				Absent	Absent						
3-Broad-BDS	3-Broad-BDS-508508-RJ	Blood_draw_site_2	10/7/21	14.14	7.2	16.7	50	69.3	23.2	33.5	13.9	316	12.9	0.92	66.1	lipemia present	84	8	4	4	Not applicable	Not applicable	NA	Not applicable	11.878	1.13	0.57	0.57	NA	NA	Occasional reactive lymphocytes	NA	NA	NA	Not applicable							Present	Absent						
6-Broad-BDS	6-Broad-BDS-518116-LJ	Blood_draw_site_2	12/20/21	5.49	7.99	18.1	54	67.4	22.7	33.6	13.3	252	10.8	0.53	42.4	"lipemia present, slight platelet clumping present"	66	15	7	12	Not applicable	Not applicable	NA	Not applicable	3.623	0.82	0.38	0.66	NA	NA	No morphologic abnormalities	NA	NA	NA	Not applicable			1+		occasional		Present	Absent						
14-CFDNA	14-CFDNA-T-424652-T-0H	Time_of_day	5/8/20	5.18	6.88	16.6	48	70.3	24.1	34.3	13.6	150	10.7	0.32	22		78	16	6	NA	NA	NA	NA	NA	4.04	0.83	0.31	NA	NA	NA	occasional reactive lymphocytes	no morphologic abnormalities	NA	8:36	NA	NA	NA	NA	NA	NA	NA	NA	NA						
15-CFDNA	15-CFDNA-T-442247-T-0H	Time_of_day	5/8/20	4.36	6.01	14.3	40	66	23.8	36	15.4	231	11.6	0.19	11.2	lipemia present	78	17	1	4	NA	NA	NA	NA	3.401	0.74	0.04	0.17	NA	NA	no morphologic abnormalities	Erythrocytes are smudged and their morphologic features are difficult to assess due to the effects of lipemia.	NA	8:41	NA	NA	NA	NA	NA	NA	NA	NA	NA						
16-CFDNA	16-CFDNA-T-320707-T-0H	Time_of_day	5/12/20	4.31	5.4	12.7	37	69.2	23.5	34	15.2	414	10	2.45	132.3	lipemia present	83	13	2	2	NA	NA	NA	NA	3.577	0.56	0.09	0.09	NA	NA	occasional reactive lymphocytes	"acanthocytes 1+, howell jolly bodies occ, keratocytes occ"	NA	8:46	NA	NA	NA	NA	NA	NA	NA	NA	NA						
17-CFDNA	17-CFDNA-T-466976-T-0H	Time_of_day	6/3/20	9	7.21	16.1	47	65.5	22.3	34.1	15.2	184	13.8	0.4	29.1	lipemia present	90	6	2	2	NA	NA	NA	1	8.1	0.54	0.18	0.18	NA	NA	occasional reactive lymphocytes	anisocytosis 1+	NA	9:30	NA	NA	NA	NA	NA	NA	NA	NA	NA						
21-CFDNA	21-CFDNA-T-443038-Day-0	LSA_U01_treatment_cohort_1	4/8/19	11.28	7.53	17.3	51	67.4	23	34.1	11.9	334	7.7	0.87	65.3		75	14	8	3	NA	NA	NA	NA	8.46	1.58	0.9	0.34	NA	NA	occ reactive lymphocytes	no abnormalities		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
21-CFDNA	21-CFDNA-T-443038-Day-7	LSA_U01_treatment_cohort_1	4/15/19	4.5	6.46	15.4	43.9	66	23.8	35.1	NA	235	NA	0.5	32		52	34	9	5	0	NA	NA	1	2.34	1.53	0.405	0.225	NA	NA			bloodwork performed at RDVM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
21-CFDNA	21-CFDNA-T-443038-Day-170-Relapse	LSA_U01_treatment_cohort_1	9/25/19	6.78	7.21	16	48	66.4	22.2	33.5	13.8	192	8.5	0.65	47.1	lipemia hemolysis	72	23	4	1	NA	NA	NA	NA	4.882	1.56	0.27	0.07	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
22-CFDNA	22-CFDNA-T-447778-Day-0	LSA_U01_treatment_cohort_1	6/14/19	12.24	6.74	15.8	46	68	23.4	34.5	12.3	164	11.5	0.76	51.3	platelets clumping present	70	22	2	6	NA	NA	NA	NA	8.568	2.69	0.24	0.73	NA	NA	occ reactive lymphocytes			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
22-CFDNA	22-CFDNA-T-447778-Day-7	LSA_U01_treatment_cohort_1	6/21/19	9.25	6.95	15.6	47	66.9	22.4	33.5	14.2	108	13.8	0.14	10.1	"6-9 plts per 100x field (estimated count of 90,000-180,000/ ul),Platelet clumping present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology. Moderate clumping se"	54	28	10	8	NA	NA	NA	NA	4.995	2.59	0.93	0.74	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
22-CFDNA	22-CFDNA-T-447778-Day-175-Relapse	LSA_U01_treatment_cohort_1	12/6/19	7.56	6.67	14.9	43	64.4	22.3	34.7	15.4	196	12.3	0.63	41.8	moderate platelet clumping present	76	12	7	5	NA	NA	NA	NA	"5,746"	0.91	0.53	0.38	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
23-CFDNA	23-CFDNA-T-448346-Day-0	LSA_U01_treatment_cohort_1	6/28/19	7.49	7	15	44	62.8	21.4	34.1	14	272	9.8	1.11	78	Lipemia present	77	20	3	NA	NA	NA	NA	1	5.767	1.5	0.22	NA	NA	NA	Occasional reactive lymphocytes	No morphologic abnormalities		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
23-CFDNA	23-CFDNA-T-448346-Day-7	LSA_U01_treatment_cohort_1	7/5/19	2.75	6.51	14.1	42	64.3	21.7	33.7	14.5	157	11.2	0.05	3.2	"6-9 platelets/100x field, occasional large platelets present"	66	27	3	4	NA	NA	NA	NA	1.815	0.74	0.08	0.11	NA	NA	No morphologic abnormalities	Slight Anisocytosis		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
23-CFDNA	23-CFDNA-T-448346-Day-200	LSA_U01_treatment_cohort_1	1/14/20	7.73	7.19	15.5	45	62.7	21.6	34.4	16.6	318	11.7	1.05	77.1		90	7	2	1	NA	NA	NA	NA	6.957	0.54	0.15	0.08	NA	NA	occ reactive lymphs	1+ echniocytes		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
24-CFDNA	24-CFDNA-T-458521-Day-7	LSA_U01_treatment_cohort_1	10/25/19	3.8	6.27	15.5	44	70	24.7	35.3	12.3	227	10.2	0.11	6.6		66	26	2	6	NA	NA	NA	NA	2.508	0.99	0.08	0.23	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
24-CFDNA	24-CFDNA-T-458521-Day-82-Relapse	LSA_U01_treatment_cohort_1	1/8/20	5.37	6.86	15.2	46	66.6	22.2	33.3	16.8	352	14.2	1.04	71.3		68	18	12	2	NA	NA	NA	NA	3.652	0.97	0.64	0.11	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
25-CFDNA	25-CFDNA-T-403101-Day-7	LSA_U01_treatment_cohort_1	8/28/19	6.48	5.59	13.1	40	71.8	23.4	32.6	12.2	251	13.2	0.11	5.9		77	12	4	7	NA	NA	NA	NA	4.99	0.78	0.26	0.45	NA	NA	no morphologic abnormalities	"occ howell jolly bodies, occ poikilocytosis"		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
25-CFDNA	25-CFDNA-T-403101-Day-97-Relapse	LSA_U01_treatment_cohort_1	11/26/19	8.3	7.21	16.4	48	66.4	22.7	34.2	15.1	200	10.1	0.5	36	"light Platelet clumping present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology.,10-25 platelets per 100x field (estimated count of 200,000-500,000/ul)"	83	8	4	5	NA	NA	NA	NA	6.889	0.66	0.33	0.42	NA	NA	echinocytes rare		"Intermediate to large lymphocytes comprise approximately 8% of the  nucleated cells. These cells are irregularly round and have diameters  ranging from about 12-15 um. They have a small to moderate amount of  moderately basophilic cytoplasm. Their nuclei are irregularly round  to slightly cleaved, with slightly condensed, smudged chromatin,  sometimes showing 1-2, indistinct nucleoli.  While these cells may be  responding to antigenic stimulation, given the history of a large B  cell lymphoma, the possibility that these cells are neoplastic should  be strongly considered."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
26-CFDNA	26-CFDNA-T-453391-Day-7	LSA_U01_treatment_cohort_1	8/30/19	4.63	7.09	17.7	53	74.7	25	33.4	13.1	347	8.8	0.13	9.1		59	29	2	10	NA	NA	NA	NA	2.732	1.34	0.09	0.46	NA	NA	occ reactive lymphocytes			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
26-CFDNA	26-CFDNA-T-453391-Day-77-Relapse	LSA_U01_treatment_cohort_1	11/8/19	11.35	7.71	19.3	57	74.3	25	33.7	14	338	10.5	1.2	92.4		90	4	3	3	NA	NA	NA	NA	10.215	0.45	0.34	0.34	NA	NA		occ howell jolly bodies		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
27-CFDNA	27-CFDNA-T-455096-Day-7	LSA_U01_treatment_cohort_1	9/16/19	3.78	5.37	13.4	40	75.1	25	33.2	13	170	12.6	0.07	3.9		49	37	6	8	NA	NA	NA	NA	1.852	1.4	0.23	0.3	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
27-CFDNA	27-CFDNA-T-455096-Day-98-Relapse	LSA_U01_treatment_cohort_1	12/16/19	4.31	6.05	14.9	43	71.2	24.6	34.6	12.8	211	9.9	0.83	50.4		81	11	3	5	NA	NA	NA	NA	3.491	0.47	0.13	0.22	NA	NA		occ echinocytes		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
28-CFDNA	28-CFDNA-T-391337-Day-0	LSA_U01_treatment_cohort_1	9/20/19	6.64	6.65	15.5	47	70.5	23.3	33	11.7	144	9.8	0.61	40.8	"6-9 plts per 100x field (estimated count of 90,000-180,000/ul)"	83	15	2	NA	NA	NA	NA	NA	5.511	1	0.13	NA	NA	NA	occ reactive lymphocytes	poikilocytosis rare		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
28-CFDNA	28-CFDNA-T-391337-Day-7	LSA_U01_treatment_cohort_1	9/27/19	2.54	5.28	12.5	38	71.1	23.7	33.3	11.6	169	12.2	0.07	3.9	"10-25 platelets per 100x field (estimated count of 200,000-500,000/ ul),Slight platelet clumping present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology."	60	36	2	2	NA	NA	NA	NA	1.524	0.91	0.05	0.05	NA	NA	occ reactive lymphocytes			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
28-CFDNA	28-CFDNA-T-391337-Day-187	LSA_U01_treatment_cohort_1	3/18/20	4.13	5.81	14.2	41	71.2	24.4	34.4	12.2	213	9.1	0.36	26.2		72	17	10	1	NA	NA	NA	NA	2.974	0.7	0.41	0.04	NA	NA	occ reactive lymphocytes			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
29-CFDNA	29-CFDNA-T-462119-Day-7	LSA_U01_treatment_cohort_1	12/4/19	2.59	6.35	15.3	44	69.5	24.1	34.6	12.2	95	13.3	0.07	4.6	slight platelet clumping present	33	60	NA	7	NA	NA	NA	NA	0.855	1.55	NA	0.18	NA	NA		"occ acanthocytes, echinocytes 1+"		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
29-CFDNA	29-CFDNA-T-462119-Day-195	LSA_U01_treatment_cohort_1	6/9/20	5.96	6.56	15.6	46	69.9	23.8	34	13.2	165	11.8	0.69	45.1	"Slight Platelet clumping present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology.,10-25 platelets per 100x field (estimated count of 200,000-500,000/ul)"	67	24	4	5	NA	NA	NA	1	3.993	1.43	0.24	0.3	NA	NA	no morphologic abnormalities	"1+ echinocytes, occ howell jolly bodes, 1+ polychromasia"		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
30-CFDNA	30-CFDNA-T-462211-Day-7	LSA_U01_treatment_cohort_1	12/10/19	2.63	6.66	15.6	45	67.9	23.4	34.5	13.1	175	12.4	0.19	12.4	lipemia present	58	29	1	12	NA	NA	NA	NA	1.525	0.76	0.03	0.32	NA	NA		occ echinocytes		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
30-CFDNA	30-CFDNA-T-462211-Day-198	LSA_U01_treatment_cohort_1	6/18/20	5.34	7.95	17.2	51	64	21.6	33.8	15.8	175	11.2	0.89	70.6	lipemia present	70	16	6	8	NA	NA	NA	NA	3.738	0.85	0.32	0.43	NA	NA	no morphologic abnormalities	occ echnicocytes		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-26	U01-DLBCL-26-01-T-RVKPT-D0	LSA_U01_treatment_cohort_2	5/18/20	9.11	7.72	16.8	49	64	21.8	34	13.6	186	12.3	1.53	118	"lipemia present, moderate platelet clumping present"	74	16	8	2	Not applicable	Not applicable	NA	3	NA	1.46	0.73	0.18	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-26	U01-DLBCL-26-01-T-RVKPT-D7	LSA_U01_treatment_cohort_2	5/27/20	10.21	7.03	15.3	44	63	21.8	34.5	13.2	260	11.6	0.56	39.3		84	6	6	4			NA		NA	0.61	0.61	0.41	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-26	U01-DLBCL-26-01-T-RVKPT-D21	LSA_U01_treatment_cohort_2	6/10/20	20.9	6.49	14.9	41	63.8	23	33.8	14.9	NA	16.1	2.5	162	"moderate platelets clumped, hemolysis, lipemia"	89	2	5	4			NA		NA	0.42	1.05	0.84	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-26	U01-DLBCL-26-01-T-RVKPT-Pre-Relapse	LSA_U01_treatment_cohort_2	12/1/20	10.29	7	15.1	46	65	21.6	33.2	14.1	387	11.2	1.6	111.7	"10-25 platelets per 100x field (estimated count of 200,000-500,000/ ul),Platelet clumping present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology."	77	6	4	13			NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-26	U01-DLBCL-26-01-T-RVKPT-Relapse	LSA_U01_treatment_cohort_2	12/29/20	8.89	7.88	16.7	51	64.9	21.2	32.6	13.9	318	11.4	1.16	91.3		83	4	4	9	Not applicable	Not applicable	NA	Not applicable	NA	0.36	0.36	0.8	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-27	U01-DLBCL-27-02-T-RVKPT-D0	LSA_U01_treatment_cohort_2	6/12/20	6.5	5.94	14.6	42	70.6	24.6	34.8	12.4	390	8.7	0.54	32		72	16	4	8			NA		NA	1.04	0.26	0.52	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-27	U01-DLBCL-27-02-T-RVKPT-D14	LSA_U01_treatment_cohort_2	6/19/20	3.57	5.5	13.9	38	69.4	25.3	36.4	12.1	258	9	0.11	6	lipemia present	59	34	3	4			NA		NA	1.21	0.11	0.14	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-27	U01-DLBCL-27-02-T-RVKPT-D21	LSA_U01_treatment_cohort_2	7/6/20	9.15	5.84	14.4	41	69.7	24.7	35.4	13	404	9.2	0.58	34	lipemia present	84	7	3	6			NA	1	NA	0.64	0.27	0.55	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-27	U01-DLBCL-27-02-T-RVKPT-Pre-Relapse	LSA_U01_treatment_cohort_2	10/5/20	8.36	6.83	15.5	47	68.8	22.7	33	15.9	425	8.8	0.32	22	lipemia present	74	17	5	4	Not applicable	Not applicable	NA	Not applicable	NA	1.42	0.42	0.33	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-27	U01-DLBCL-27-02-T-RVKPT-Relapse	LSA_U01_treatment_cohort_2	11/2/20	7.03	6.93	15.7	47	68.2	22.7	33.2	16.6	350	9.4	0.34	23.5	lipemia present	89	7	3	1	Not applicable	Not applicable	NA	Not applicable	NA	0.49	0.21	0.07	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-30	U01-DLBCL-30-03-T-RVKPT-D7	LSA_U01_treatment_cohort_2	8/4/20	4.32	4.89	11.5	34	70.3	23.5	33.4	11.8	346	10.8	0.26	12.5		72	22	3	3			NA		NA	0.95	0.13	0.13	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
