ID	Sample_ID	Cohort	Date.of.CBC	WBC	RBC	Hemoglobin	Hematocrit	MCV	MCH	MCHC	RDW	Platelet.count	Mean.Platelet.volume	Reticulocyte.count	Absolute.reticulocyte.count	Comments	Seg.Neuts	Lymphocytes	Monocytes	Eosinophils	Basophils	Band.Neuts	Other.	Nucleated.RBC	Absolute.Seg.Neutrophils	Absolute.Lymphs	Absolute.Mono	Absolute.Eos	Absolute.Baso	Absolute.Band.Neutro	WBC.Morphology.Comments	RBC.Comments	Other.comments	Time.of.CBC	Other	Acanthocytes	Anisocytosis	echinocytes	Howell.jolly.bodies	keratocytes	schistocytes	Lipemia	Hemolysis						
DLBCL-30	U01-DLBCL-30-03-T-RVKPT-D21	LSA_U01_treatment_cohort_2	8/18/20	6.84	5.17	12.1	37	71.8	23.4	32.6	13	573	10.6	1.24	63.9	Lipemia present	72	12	1	15			NA		NA	0.82	0.07	1.03	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-30	U01-DLBCL-30-03-T-RVKPT-Pre-Relapse	LSA_U01_treatment_cohort_2	1/26/21	4.23	6.31	14.3	44	70	22.7	32.4	14.5	268	10.2	0.69	43.5		70	17	7	6	Not applicable	Not applicable	NA	Not applicable	NA	0.72	0.3	0.25	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-30	U01-DLBCL-30-03-T-RVKPT-Relapse	LSA_U01_treatment_cohort_2	2/9/21	4.05	5.47	12.4	38	69	22.7	32.9	12.7	217	10.6	0.97	53.2		85	9	1	5	Not applicable	Not applicable	NA	Not applicable	NA	0.36	0.04	0.2	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-29	U01-DLBCL-29-04-T-RVKPT-D7	LSA_U01_treatment_cohort_2	8/17/20	5.03	4.93	12.7	36	73.3	25.8	35.2	13.8	370	13.9	1.19	58.9	Lipemia present	88	7	4	1			NA	2	NA	0.35	0.2	0.05	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-29	U01-DLBCL-29-04-T-RVKPT-Relapse	LSA_U01_treatment_cohort_2	8/24/20	18.84	4.4	10.6	32	72.3	24.1	33.3	14.3	471	13.5	1.88	82.7		95	2	3				NA	3	NA	0.38	0.57	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-28	U01-DLBCL-28-05-T-RVKPT-D7	LSA_U01_treatment_cohort_2	8/31/20	5.21	5.61	13.7	42	74.2	24.4	32.9	14	266	10.6	1.48	82.7		49	21	16	14	Not applicable	Not applicable	NA	1	NA	1.09	0.83	0.73	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-28	U01-DLBCL-28-05-T-RVKPT-Relapse	LSA_U01_treatment_cohort_2	9/8/20	6.73	5.72	13.5	43	75.1	23.6	31.4	14.7	513	10.3	1.97	112.5	">25 platelets per 100x field (estimated platelet count >500,000/ul) Platelet clumping present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology."	67	25	1	7	Not applicable	Not applicable	NA	Not applicable	NA	1.68	0.07	0.47	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-33	U01-DLBCL-33-06-T-RVKPT-D0	LSA_U01_treatment_cohort_2	8/19/20	8.9	5.7	13.3	41	72.7	23.3	32.1	11.8	192	10.6	1.11	63.4	Lipemia present	86	11	1	2			NA		NA	0.98	0.09	0.18	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-33	U01-DLBCL-33-06-T-RVKPT-D7	LSA_U01_treatment_cohort_2	8/26/20	6.75	5.8	14.9	42	72.5	25.7	35.4	11.6	459	10	0.12	7	Lipemia present; Slight platelet clumping present	55	38	2	5			NA		NA	2.57	0.14	0.34	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-33	U01-DLBCL-33-06-T-RVKPT-Pre-Relapse	LSA_U01_treatment_cohort_2	2/5/21	9.06	5.75	14.9	41	71.2	25.9	36.3	15.2	167	14.4	1.89	108.5	"Hemolysis present,Lipemia present"	80	12	4	4	Not applicable	Not applicable	NA	Not applicable	NA	1.09	0.36	0.36	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-33	U01-DLBCL-33-06-T-RVKPT-Relapse	LSA_U01_treatment_cohort_2	3/5/21	11.74	5.13	12.4	38	73.5	24.2	32.9	15.8	199	13.2	1.5	76.8	Lipemia present	88	3	6	3	Not applicable	Not applicable	NA	1	NA	0.35	0.7	0.35	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-32	U01-DLBCL-32-07-T-RVKPT-D0	LSA_U01_treatment_cohort_2	9/23/20	31.94	5.93	14.2	43	72.6	23.9	32.9	14.6	233	9.7	1.81	107.3	Platelet clumping present; sent for pathologist review	37	19	1	1	Not applicable	Not applicable	NA	2	NA	6.07	0.32	0.32	NA	NA	NA	NA	NA	NA	42	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-32	U01-DLBCL-32-07-T-RVKPT-D7	LSA_U01_treatment_cohort_2	9/30/20	4.62	5.47	13.2	39	70.8	24.1	34	13.6	377	10.8	0.15	8.1	"Sent for pathologist review of differential & WBC morphology. PRELIMINARY absolute neutrophil estimate = 2,500."	53	35	4	8	Not applicable	Not applicable	NA	Not applicable	NA	1.62	0.18	0.37	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-32	U01-DLBCL-32-07-T-RVKPT-D21	LSA_U01_treatment_cohort_2	10/14/20	8.64	6.09	13.9	44	71.5	22.8	31.9	14.1	314	9.8	1.9	115.8	Not applicable	64	30	1	5	Not applicable	Not applicable	NA	1	NA	2.59	0.09	0.43	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-32	U01-DLBCL-32-07-T-RVKPT-Pre-Relapse	LSA_U01_treatment_cohort_2	4/7/21	7.75	6.7	14.7	44	66.2	21.9	33.2	15.7	296	10.7	0.89	59.3	Not applicable	84	12	4	Not applicable	Not applicable	Not applicable	NA	Not applicable	NA	0.93	0.31	NA	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-32	U01-DLBCL-32-07-T-RVKPT-Relapse	LSA_U01_treatment_cohort_2	4/29/21	12.14	5.68	12.9	38	67.1	22.7	33.9	15.2	194	10.6	1.16	65.7	"light Platelet clumping present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology.,6-9 plts per 100x field (estimated count of 90,000-180,000/ul)"	73	14	3	1	Not applicable	Not applicable	NA	Not applicable	NA	1.7	0.36	0.12	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-36	U01-DLBCL-36-08-T-RVKPT-D0	LSA_U01_treatment_cohort_2	9/14/20	11.27	5.84	13.2	39	67.2	22.6	33.7	12.9	392	10.3	0.75	43.6	Not applicable	79	17	1	3	Not applicable	Not applicable	NA	1	NA	1.92	0.11	0.34	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-36	U01-DLBCL-36-08-T-RVKPT-D7	LSA_U01_treatment_cohort_2	9/25/20	4.55	5.08	11.4	34	67.1	22.4	33.4	12.4	488	10.4	0.2	10	Not applicable	76	19	4	1	Not applicable	Not applicable	NA	Not applicable	NA	0.86	0.18	0.05	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-36	U01-DLBCL-36-08-T-RVKPT-D21	LSA_U01_treatment_cohort_2	10/9/20	6.37	5.88	13.2	41	69.1	22.4	32.5	14	530	10.1	1.43	84	Not applicable	76	17	1	6	Not applicable	Not applicable	NA	Not applicable	NA	1.08	0.06	0.38	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-36	U01-DLBCL-36-08-T-RVKPT-Pre-Relapse	LSA_U01_treatment_cohort_2	3/5/21	5.13	6.98	15	47	67.1	21.5	32.1	15.6	307	9.3	0.8	55.6	"Slight Platelet clumping present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology. 10-25 platelets per 100x field (estimated count of 200,000-500,000/ul)"	71	18	5	6	Not applicable	Not applicable	NA	Not applicable	NA	0.92	0.26	0.31	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
